,Dataset,Model,Test ROC AUC,CV Mean AUC
0,Fraud_Data,Logistic Regression,0.8351092506545545,0.8408804471422652
1,Fraud_Data,Random Forest,0.841320072356057,0.8452421771394988
2,Fraud_Data,XGBoost,0.8392114309464167,0.8474329676949651
3,CreditCard_Data,Logistic Regression,0.9583739405352626,0.9768993425473174
4,CreditCard_Data,Random Forest,0.9608720615328015,0.9738954341033141
5,CreditCard_Data,XGBoost,0.9601549282820296,0.9815013097255072
