,Model,Test ROC AUC,CV Mean AUC
0,Logistic Regression,0.8351092506545545,0.8408804471422652
1,Random Forest (Tuned),0.8428452292175955,0.8464057114977386
2,XGBoost,0.8392114309464167,0.8474329676949651
